CB NO,RACE,SEX,AGE,STATUTE,STATUTE DESCRIPTION,ARREST DATE,ARREST TIME,ARREST BEAT,STATUTE TAG
18619284,WWH,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,19-Mar-13,2315,2521,Possess 2.5g-10g
18619301,WWH,M,23,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,20-Mar-13,24,935,Possess 2.5g-10g
18619411,WWH,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,20-Mar-13,829,432,Possess 2.5g-10g
18619475,WWH,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,20-Mar-13,1125,824,Possess 2.5g-10g
18619508,BLK,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,20-Mar-13,1132,713,Possess <2.5g
18619528,BLK,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,20-Mar-13,1235,522,Possess <2.5g
18619540,BLK,M,27,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,20-Mar-13,1240,714,Possess <2.5g
18619627,WWH,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,20-Mar-13,1418,424,Possess <2.5g
18619629,WWH,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,20-Mar-13,1424,613,Possess <2.5g
18619655,BLK,M,42,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,20-Mar-13,1527,2222,Possess 2.5g-10g
18619675,BLK,M,43,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,20-Mar-13,1530,332,Possess 2.5g-10g
18619678,BLK,M,37,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,20-Mar-13,1545,2534,Possess <2.5g
18619702,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,20-Mar-13,1611,1222,Possess 2.5g-10g
18619685,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,20-Mar-13,1625,1914,Possess 2.5g-10g
18619776,WWH,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,20-Mar-13,1847,1013,Possess <2.5g
18619815,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,20-Mar-13,1927,2533,Possess <2.5g
18619825,BLK,M,31,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,20-Mar-13,1935,711,Possess 2.5g-10g
18619835,BLK,M,51,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,20-Mar-13,2000,1533,Possess <2.5g
18619877,WHI,F,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,20-Mar-13,2030,1211,Possess <2.5g
18619899,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,20-Mar-13,2105,825,Possess <2.5g
18619902,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,20-Mar-13,2105,825,Possess <2.5g
18619990,BLK,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,20-Mar-13,2200,732,Possess 2.5g-10g
18619919,WWH,M,33,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,20-Mar-13,2215,2424,Possess <2.5g
18619942,BLK,M,21,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,20-Mar-13,2223,1112,Possess <2.5g
18620180,BLK,M,48,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,21-Mar-13,1130,712,Possess <2.5g
18620221,BLK,M,23,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,21-Mar-13,1220,1112,Possess <2.5g
18620222,BLK,M,37,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,21-Mar-13,1235,1211,Possess <2.5g
18620246,BLK,M,24,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,21-Mar-13,1300,233,Possess <2.5g
18620250,BLK,M,28,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,1320,312,Possess 2.5g-10g
18620245,U,M,23,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,21-Mar-13,1340,1034,Possess <2.5g
18620297,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,1420,925,Possess 2.5g-10g
18620295,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,1441,1134,Possess 2.5g-10g
18620314,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,1503,512,Possess 2.5g-10g
18620347,BLK,M,48,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,1539,423,Possess 2.5g-10g
18620357,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,1550,733,Possess 2.5g-10g
18620392,WHI,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,1705,1512,Possess 2.5g-10g
18620484,WHI,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,21-Mar-13,1815,113,Possess <2.5g
18620445,WHI,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,1815,113,Possess 2.5g-10g
18620498,BLK,M,26,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,21-Mar-13,1901,934,Possess <2.5g
18620561,BLK,M,49,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,1950,1133,Possess 2.5g-10g
18620535,WWH,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,21-Mar-13,2001,1422,Possess <2.5g
18620565,BLK,M,23,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,2005,1112,Possess 2.5g-10g
18620677,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,21-Mar-13,2135,631,Possess <2.5g
18620730,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,21-Mar-13,2135,631,Possess <2.5g
18620620,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,2135,714,Possess 2.5g-10g
18620719,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,2135,631,Possess 2.5g-10g
18620640,WHI,M,33,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,2138,2234,Possess 2.5g-10g
18620653,WHI,M,29,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,2138,2234,Possess 2.5g-10g
18620626,BLK,M,32,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,2200,1532,Possess 2.5g-10g
18620708,WWH,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,2230,813,Possess 2.5g-10g
18620668,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,2240,631,Possess 2.5g-10g
18620664,BLK,M,21,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,21-Mar-13,2241,222,Possess <2.5g
18620726,BLK,M,29,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,21-Mar-13,2340,225,Possess 2.5g-10g
18620858,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,22-Mar-13,920,634,Possess <2.5g
18620871,BLK,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,22-Mar-13,920,634,Possess <2.5g
18620920,BLK,M,27,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,22-Mar-13,1115,624,Possess <2.5g
18620938,WWH,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,22-Mar-13,1130,813,Possess <2.5g
18620953,WWH,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,22-Mar-13,1235,932,Possess 2.5g-10g
18623260,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,25-Mar-13,1845,322,Possess 2.5g-10g
18623273,BLK,M,34,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,25-Mar-13,2048,712,Possess 2.5g-10g
18623286,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,25-Mar-13,2127,2422,Possess 2.5g-10g
18623361,WWH,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,25-Mar-13,2141,2512,Possess <2.5g
18623404,WWH,M,32,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,25-Mar-13,2142,2512,Possess <2.5g
18623372,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,25-Mar-13,2153,1512,Possess <2.5g
18623359,BLK,M,37,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,25-Mar-13,2157,1523,Possess <2.5g
18623326,BLK,M,25,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,25-Mar-13,2219,421,Possess 2.5g-10g
18623345,WWH,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,25-Mar-13,2235,1713,Possess <2.5g
18623365,WWH,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,25-Mar-13,2235,1732,Possess 2.5g-10g
18623352,BLK,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,25-Mar-13,2255,1934,Possess <2.5g
18623387,WHI,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,25-Mar-13,2310,1632,Possess <2.5g
18623411,BLK,M,30,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,25-Mar-13,2315,623,Possess 2.5g-10g
18623412,BLK,M,37,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,25-Mar-13,2336,1522,Possess 2.5g-10g
18623397,BLK,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,25-Mar-13,2340,1524,Possess <2.5g
18623440,WWH,M,24,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,25-Mar-13,2354,924,Possess <2.5g
18623509,WHI,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,26-Mar-13,300,1812,Possess 2.5g-10g
18623511,WHI,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,26-Mar-13,300,1812,Possess 2.5g-10g
18623606,BLK,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,26-Mar-13,1050,1021,Possess 2.5g-10g
18623645,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,26-Mar-13,1150,531,Possess 2.5g-10g
18623691,WWH,M,59,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,26-Mar-13,1330,2422,Possess <2.5g
18623708,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,26-Mar-13,1345,2423,Possess <2.5g
18623697,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,26-Mar-13,1350,2531,Possess 2.5g-10g
18623714,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,26-Mar-13,1352,1522,Possess 2.5g-10g
18623769,BLK,M,24,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,26-Mar-13,1414,1223,Possess <2.5g
18623779,BLK,M,24,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,26-Mar-13,1545,1115,Possess <2.5g
18623768,WWH,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,26-Mar-13,1600,1033,Possess 2.5g-10g
18623786,WWH,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,26-Mar-13,1617,432,Possess 2.5g-10g
18623887,BLK,M,29,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,26-Mar-13,1704,413,Possess <2.5g
18624051,BLK,M,40,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,26-Mar-13,1726,411,Possess 2.5g-10g
18624011,BLK,M,43,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,26-Mar-13,1913,631,Possess <2.5g
18623929,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,26-Mar-13,1920,1011,Possess 2.5g-10g
18623968,BLK,M,33,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,26-Mar-13,1955,1624,Possess <2.5g
18624047,WWH,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,26-Mar-13,2035,825,Possess 2.5g-10g
18624057,BLK,M,37,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,26-Mar-13,2120,1222,Possess <2.5g
18624050,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,26-Mar-13,2135,1533,Possess 2.5g-10g
18624161,BLK,M,35,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,26-Mar-13,2329,2013,Possess 2.5g-10g
18624181,BLK,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,27-Mar-13,43,1533,Possess 2.5g-10g
18624308,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,27-Mar-13,1045,1532,Possess 2.5g-10g
18624445,BLK,M,40,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,27-Mar-13,1335,932,Possess <2.5g
18624444,BLK,M,50,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,27-Mar-13,1410,2232,Possess <2.5g
18624454,BLK,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,27-Mar-13,1430,1533,Possess <2.5g
18624456,BLK,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,27-Mar-13,1507,934,Possess 2.5g-10g
18624647,BLK,F,21,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,27-Mar-13,1910,232,Possess <2.5g
18624680,BLK,M,24,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,27-Mar-13,1925,2033,Possess <2.5g
18624695,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,27-Mar-13,2006,624,Possess 2.5g-10g
18624769,BLK,M,30,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,27-Mar-13,2147,232,Possess <2.5g
18624798,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,27-Mar-13,2218,624,Possess 2.5g-10g
18624834,BLK,F,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,27-Mar-13,2310,2223,Possess 2.5g-10g
18624871,WWH,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,28-Mar-13,45,923,Possess <2.5g
18624909,WWH,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,28-Mar-13,204,2524,Possess <2.5g
18625110,BLK,M,28,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,28-Mar-13,1310,1122,Possess 2.5g-10g
18625111,BLK,M,28,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,28-Mar-13,1310,1122,Possess 2.5g-10g
18625139,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,28-Mar-13,1315,2222,Possess 2.5g-10g
18625138,WWH,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,28-Mar-13,1347,2535,Possess 2.5g-10g
18625233,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,28-Mar-13,1535,313,Possess 2.5g-10g
18625204,BLK,M,27,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,28-Mar-13,1600,1524,Possess 2.5g-10g
18625414,WWH,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,28-Mar-13,1915,1634,Possess <2.5g
18625430,WWH,M,24,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,28-Mar-13,1915,1634,Possess <2.5g
18625475,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,28-Mar-13,2124,934,Possess <2.5g
18625486,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,28-Mar-13,2130,733,Possess 2.5g-10g
18625473,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,28-Mar-13,2141,121,Possess 2.5g-10g
18625506,BLK,F,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,28-Mar-13,2210,511,Possess 2.5g-10g
18625530,WWH,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,28-Mar-13,2230,923,Possess 2.5g-10g
18625553,WWH,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,28-Mar-13,2251,2512,Possess 2.5g-10g
18625558,WWH,F,26,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,28-Mar-13,2310,2512,Possess 2.5g-10g
18625584,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,28-Mar-13,2330,1531,Possess 2.5g-10g
18625572,BLK,M,27,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,28-Mar-13,2340,531,Possess 2.5g-10g
18625574,BLK,F,25,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,28-Mar-13,2340,531,Possess 2.5g-10g
18625633,WWH,M,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,29-Mar-13,102,823,Possess <2.5g
18625809,BLK,M,29,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,29-Mar-13,1135,2532,Possess 2.5g-10g
18625840,BLK,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,29-Mar-13,1216,424,Possess <2.5g
18625916,BLK,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,29-Mar-13,1328,2221,Possess <2.5g
18625973,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,29-Mar-13,1509,2532,Possess 2.5g-10g
18625978,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,29-Mar-13,1610,1522,Possess 2.5g-10g
18626048,BLK,M,28,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,29-Mar-13,1652,732,Possess 2.5g-10g
18626036,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,29-Mar-13,1802,522,Possess <2.5g
18626120,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,29-Mar-13,1906,1122,Possess 2.5g-10g
18626115,WWH,M,37,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,29-Mar-13,1950,1423,Possess <2.5g
18626161,BLK,M,21,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,29-Mar-13,2020,1523,Possess <2.5g
18626175,WWH,M,31,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,29-Mar-13,2020,1422,Possess <2.5g
18626271,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,29-Mar-13,2035,915,Possess 2.5g-10g
18626224,BLK,F,47,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,29-Mar-13,2104,522,Possess <2.5g
18626232,BLK,M,33,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,29-Mar-13,2148,624,Possess 2.5g-10g
18626263,BLK,M,37,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,29-Mar-13,2154,633,Possess 2.5g-10g
18626257,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,29-Mar-13,2215,522,Possess 2.5g-10g
18626274,WWH,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,29-Mar-13,2231,2534,Possess <2.5g
18626262,WWH,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,29-Mar-13,2235,2525,Possess 2.5g-10g
18626281,WWH,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,29-Mar-13,2235,2525,Possess 2.5g-10g
18626294,WWH,M,33,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,29-Mar-13,2256,2535,Possess <2.5g
18626313,BLK,F,22,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,29-Mar-13,2351,1924,Possess <2.5g
18626588,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Mar-13,1140,333,Possess 2.5g-10g
18626586,WWH,M,26,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Mar-13,1148,933,Possess <2.5g
18626632,BLK,M,29,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Mar-13,1304,2223,Possess 2.5g-10g
18626634,BLK,M,23,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Mar-13,1340,1914,Possess 2.5g-10g
18626642,BLK,M,25,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Mar-13,1415,612,Possess 2.5g-10g
18626687,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Mar-13,1603,1221,Possess <2.5g
18626745,BLK,M,19,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Mar-13,1752,531,Possess 2.5g-10g
18626808,BLK,M,31,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Mar-13,1903,2532,Possess 2.5g-10g
18626803,BLK,M,27,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Mar-13,1905,1133,Possess 2.5g-10g
18626863,WWH,M,24,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Mar-13,1930,2534,Possess <2.5g
18626882,WWH,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Mar-13,1940,1414,Possess 2.5g-10g
18626867,BLK,M,24,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Mar-13,2000,533,Possess 2.5g-10g
18626908,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Mar-13,2025,411,Possess <2.5g
18626916,BLK,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Mar-13,2025,411,Possess <2.5g
18626899,BLK,M,25,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Mar-13,2055,1221,Possess 2.5g-10g
18626984,WWH,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Mar-13,2120,432,Possess 2.5g-10g
18626963,BLK,M,23,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Mar-13,2130,1523,Possess 2.5g-10g
18626948,BLK,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,30-Mar-13,2140,1112,Possess <2.5g
18626936,BLK,M,18,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Mar-13,2200,523,Possess 2.5g-10g
18627060,BLK,M,21,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Mar-13,2250,111,Possess 2.5g-10g
18627063,BLK,M,20,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,30-Mar-13,2250,111,Possess 2.5g-10g
18627214,BLK,M,25,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Mar-13,1005,2223,Possess <2.5g
18627221,BLK,M,32,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Mar-13,1050,935,Possess <2.5g
18627256,BLK,M,31,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Mar-13,1149,2233,Possess 2.5g-10g
18627242,WWH,M,19,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Mar-13,1150,423,Possess <2.5g
18627272,BLK,M,28,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Mar-13,1250,631,Possess 2.5g-10g
18627269,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Mar-13,1305,211,Possess <2.5g
18627292,BLK,M,34,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Mar-13,1340,2222,Possess 2.5g-10g
18627322,BLK,M,22,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Mar-13,1515,1522,Possess 2.5g-10g
18627337,BLK,M,26,720 ILCS 550.0/4-B,CANNABIS - POSSESS 2.5-10 GRMS,31-Mar-13,1530,934,Possess 2.5g-10g
18627428,BLK,M,18,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Mar-13,1929,624,Possess <2.5g
18627434,BLK,M,20,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,31-Mar-13,1946,1014,Possess <2.5g
